"REF_DATE","GEO","DGUID","Airports","Type of power plant","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Canada","2016A000011124","Québec/Jean Lesage International, Quebec","Piston engines","Number","223","units","0","v41550999","1.26.3","38302","","","","0"
"1997","Canada","2016A000011124","Québec/Jean Lesage International, Quebec","Helicopters","Number","223","units","0","v41551000","1.26.4","4488","","","","0"
"1997","Canada","2016A000011124","Québec/Jean Lesage International, Quebec","Gliders","Number","223","units","0","v41551001","1.26.5","19","","","","0"
"1997","Canada","2016A000011124","Regina International, Saskatchewan","Jet engines","Number","223","units","0","v41551002","1.27.1","18109","","","","0"
"1997","Canada","2016A000011124","Regina International, Saskatchewan","Turbo-propellers","Number","223","units","0","v41551003","1.27.2","13862","","","","0"
"1997","Canada","2016A000011124","Regina International, Saskatchewan","Piston engines","Number","223","units","0","v41551004","1.27.3","15014","","","","0"
"1997","Canada","2016A000011124","Regina International, Saskatchewan","Helicopters","Number","223","units","0","v41551005","1.27.4","439","","","","0"
"1997","Canada","2016A000011124","Regina International, Saskatchewan","Gliders","Number","223","units","0","v41551006","1.27.5","13","","","","0"
"1997","Canada","2016A000011124","Saskatoon/John G. Diefenbaker International, Saskatchewan","Jet engines","Number","223","units","0","v41551007","1.28.1","18783","","","","0"
"1997","Canada","2016A000011124","Saskatoon/John G. Diefenbaker International, Saskatchewan","Turbo-propellers","Number","223","units","0","v41551008","1.28.2","22406","","","","0"
"1997","Canada","2016A000011124","Saskatoon/John G. Diefenbaker International, Saskatchewan","Piston engines","Number","223","units","0","v41551009","1.28.3","23305","","","","0"
"1997","Canada","2016A000011124","Saskatoon/John G. Diefenbaker International, Saskatchewan","Helicopters","Number","223","units","0","v41551010","1.28.4","450","","","","0"
"1997","Canada","2016A000011124","Saskatoon/John G. Diefenbaker International, Saskatchewan","Gliders","Number","223","units","0","v41551011","1.28.5","6","","","","0"
"1997","Canada","2016A000011124","Sault Ste. Marie, Ontario","Jet engines","Number","223","units","0","v41551012","1.29.1","915","","","","0"
"1997","Canada","2016A000011124","Sault Ste. Marie, Ontario","Turbo-propellers","Number","223","units","0","v41551013","1.29.2","14861","","","","0"
"1997","Canada","2016A000011124","Sault Ste. Marie, Ontario","Piston engines","Number","223","units","0","v41551014","1.29.3","12548","","","","0"
"1997","Canada","2016A000011124","Sault Ste. Marie, Ontario","Helicopters","Number","223","units","0","v41551015","1.29.4","431","","","","0"
"1997","Canada","2016A000011124","Sault Ste. Marie, Ontario","Gliders","Number","223","units","0","v41551016","1.29.5","2","","","","0"
"1997","Canada","2016A000011124","Sept-Îles, Quebec","Jet engines","Number","223","units","0","v41551017","1.30.1","782","","","t","0"
"1997","Canada","2016A000011124","Sept-Îles, Quebec","Turbo-propellers","Number","223","units","0","v41551018","1.30.2","13598","","","t","0"
"1997","Canada","2016A000011124","Sept-Îles, Quebec","Piston engines","Number","223","units","0","v41551019","1.30.3","9006","","","t","0"
"1997","Canada","2016A000011124","Sept-Îles, Quebec","Helicopters","Number","223","units","0","v41551020","1.30.4","6345","","","t","0"
"1997","Canada","2016A000011124","Sept-Îles, Quebec","Gliders","Number","223","units","0","v41551021","1.30.5","9","","","t","0"
"1997","Canada","2016A000011124","St. John's International, Newfoundland and Labrador","Jet engines","Number","223","units","0","v41551022","1.31.1","11514","","","","0"
"1997","Canada","2016A000011124","St. John's International, Newfoundland and Labrador","Turbo-propellers","Number","223","units","0","v41551023","1.31.2","20698","","","","0"
"1997","Canada","2016A000011124","St. John's International, Newfoundland and Labrador","Piston engines","Number","223","units","0","v41551024","1.31.3","12382","","","","0"
"1997","Canada","2016A000011124","St. John's International, Newfoundland and Labrador","Helicopters","Number","223","units","0","v41551025","1.31.4","2491","","","","0"
"1997","Canada","2016A000011124","St. John's International, Newfoundland and Labrador","Gliders","Number","223","units","0","v41551026","1.31.5","546","","","","0"
"1997","Canada","2016A000011124","St-Jean, Quebec","Jet engines","Number","223","units","0","v41551027","1.32.1","25","","","","0"
"1997","Canada","2016A000011124","St-Jean, Quebec","Turbo-propellers","Number","223","units","0","v41551028","1.32.2","437","","","","0"
"1997","Canada","2016A000011124","St-Jean, Quebec","Piston engines","Number","223","units","0","v41551029","1.32.3","25730","","","","0"
"1997","Canada","2016A000011124","St-Jean, Quebec","Helicopters","Number","223","units","0","v41551030","1.32.4","502","","","","0"
"1997","Canada","2016A000011124","St-Jean, Quebec","Gliders","Number","223","units","0","v41551031","1.32.5","5665","","","","0"
"1997","Canada","2016A000011124","Sudbury, Ontario","Jet engines","Number","223","units","0","v41551032","1.33.1","606","","","t","0"
"1997","Canada","2016A000011124","Sudbury, Ontario","Turbo-propellers","Number","223","units","0","v41551033","1.33.2","19752","","","t","0"
"1997","Canada","2016A000011124","Sudbury, Ontario","Piston engines","Number","223","units","0","v41551034","1.33.3","9994","","","t","0"
"1997","Canada","2016A000011124","Sudbury, Ontario","Helicopters","Number","223","units","0","v41551035","1.33.4","5187","","","t","0"
"1997","Canada","2016A000011124","Sudbury, Ontario","Gliders","Number","223","units","0","v41551036","1.33.5","4","","","t","0"
"1997","Canada","2016A000011124","Thunder Bay, Ontario","Jet engines","Number","223","units","0","v41551037","1.34.1","10105","","","","0"
"1997","Canada","2016A000011124","Thunder Bay, Ontario","Turbo-propellers","Number","223","units","0","v41551038","1.34.2","22407","","","","0"
"1997","Canada","2016A000011124","Thunder Bay, Ontario","Piston engines","Number","223","units","0","v41551039","1.34.3","12299","","","","0"
"1997","Canada","2016A000011124","Thunder Bay, Ontario","Helicopters","Number","223","units","0","v41551040","1.34.4","3500","","","","0"
"1997","Canada","2016A000011124","Thunder Bay, Ontario","Gliders","Number","223","units","0","v41551041","1.34.5","4","","","","0"
"1997","Canada","2016A000011124","Toronto/Billy Bishop Toronto City, Ontario","Jet engines","Number","223","units","0","v41551047","1.36.1","156","","","","0"
"1997","Canada","2016A000011124","Toronto/Billy Bishop Toronto City, Ontario","Turbo-propellers","Number","223","units","0","v41551048","1.36.2","12550","","","","0"
"1997","Canada","2016A000011124","Toronto/Billy Bishop Toronto City, Ontario","Piston engines","Number","223","units","0","v41551049","1.36.3","44633","","","","0"
"1997","Canada","2016A000011124","Toronto/Billy Bishop Toronto City, Ontario","Helicopters","Number","223","units","0","v41551050","1.36.4","3932","","","","0"
"1997","Canada","2016A000011124","Toronto/Billy Bishop Toronto City, Ontario","Gliders","Number","223","units","0","v41551051","1.36.5","13","","","","0"
"1997","Canada","2016A000011124","Toronto/Buttonville Municipal, Ontario","Jet engines","Number","223","units","0","v41551042","1.35.1","1818","","","","0"
"1997","Canada","2016A000011124","Toronto/Buttonville Municipal, Ontario","Turbo-propellers","Number","223","units","0","v41551043","1.35.2","2821","","","","0"
"1997","Canada","2016A000011124","Toronto/Buttonville Municipal, Ontario","Piston engines","Number","223","units","0","v41551044","1.35.3","66363","","","","0"
"1997","Canada","2016A000011124","Toronto/Buttonville Municipal, Ontario","Helicopters","Number","223","units","0","v41551045","1.35.4","5922","","","","0"
"1997","Canada","2016A000011124","Toronto/Buttonville Municipal, Ontario","Gliders","Number","223","units","0","v41551046","1.35.5","168","","","","0"
"1997","Canada","2016A000011124","Toronto/Lester B. Pearson International, Ontario","Jet engines","Number","223","units","0","v41551052","1.37.1","303841","","","","0"
"1997","Canada","2016A000011124","Toronto/Lester B. Pearson International, Ontario","Turbo-propellers","Number","223","units","0","v41551053","1.37.2","84756","","","","0"
"1997","Canada","2016A000011124","Toronto/Lester B. Pearson International, Ontario","Piston engines","Number","223","units","0","v41551054","1.37.3","5991","","","","0"
"1997","Canada","2016A000011124","Toronto/Lester B. Pearson International, Ontario","Helicopters","Number","223","units","0","v41551055","1.37.4","1038","","","","0"
"1997","Canada","2016A000011124","Toronto/Lester B. Pearson International, Ontario","Gliders","Number","223","units","0","v41551056","1.37.5","11","","","","0"
"1997","Canada","2016A000011124","Vancouver Harbour, British Columbia","Jet engines","Number","223","units","0","v41551057","1.38.1","0","","","","0"
"1997","Canada","2016A000011124","Vancouver Harbour, British Columbia","Turbo-propellers","Number","223","units","0","v41551058","1.38.2","10116","","","","0"
"1997","Canada","2016A000011124","Vancouver Harbour, British Columbia","Piston engines","Number","223","units","0","v41551059","1.38.3","22257","","","","0"
"1997","Canada","2016A000011124","Vancouver Harbour, British Columbia","Helicopters","Number","223","units","0","v41551060","1.38.4","18940","","","","0"
"1997","Canada","2016A000011124","Vancouver Harbour, British Columbia","Gliders","Number","223","units","0","v41551061","1.38.5","25","","","","0"
"1997","Canada","2016A000011124","Vancouver International, British Columbia","Jet engines","Number","223","units","0","v41551062","1.39.1","141435","","","","0"
"1997","Canada","2016A000011124","Vancouver International, British Columbia","Turbo-propellers","Number","223","units","0","v41551063","1.39.2","128460","","","","0"
"1997","Canada","2016A000011124","Vancouver International, British Columbia","Piston engines","Number","223","units","0","v41551064","1.39.3","54075","","","","0"
"1997","Canada","2016A000011124","Vancouver International, British Columbia","Helicopters","Number","223","units","0","v41551065","1.39.4","18479","","","","0"
"1997","Canada","2016A000011124","Vancouver International, British Columbia","Gliders","Number","223","units","0","v41551066","1.39.5","103","","","","0"
"1997","Canada","2016A000011124","Victoria International, British Columbia","Jet engines","Number","223","units","0","v41551067","1.40.1","6275","","","","0"
"1997","Canada","2016A000011124","Victoria International, British Columbia","Turbo-propellers","Number","223","units","0","v41551068","1.40.2","35702","","","","0"
"1997","Canada","2016A000011124","Victoria International, British Columbia","Piston engines","Number","223","units","0","v41551069","1.40.3","61725","","","","0"
"1997","Canada","2016A000011124","Victoria International, British Columbia","Helicopters","Number","223","units","0","v41551070","1.40.4","6835","","","","0"
"1997","Canada","2016A000011124","Victoria International, British Columbia","Gliders","Number","223","units","0","v41551071","1.40.5","21","","","","0"
"1997","Canada","2016A000011124","Whitehorse International, Yukon","Jet engines","Number","223","units","0","v41551072","1.41.1","2179","","","","0"
"1997","Canada","2016A000011124","Whitehorse International, Yukon","Turbo-propellers","Number","223","units","0","v41551073","1.41.2","4053","","","","0"
"1997","Canada","2016A000011124","Whitehorse International, Yukon","Piston engines","Number","223","units","0","v41551074","1.41.3","11842","","","","0"
"1997","Canada","2016A000011124","Whitehorse International, Yukon","Helicopters","Number","223","units","0","v41551075","1.41.4","2521","","","","0"
"1997","Canada","2016A000011124","Whitehorse International, Yukon","Gliders","Number","223","units","0","v41551076","1.41.5","0","","","","0"
